"hate_speech","counter_speech","target"
"I'm sick and tired of whining females. Being oppressed is just an individual problem, they will eventually get over it.","Oh, think about it for a while, it's not that simple. Being oppressed is a social problem and requires social change.","WOMEN"
"All foreigners in the UK shouldn't have the right to live and work in the UK, because of where they come from.","But they have these rights and so are encouraged to live and work in the UK, if they want to and if they respect our laws.","MIGRANTS"
"Gay men engage in anal sex and they must be condemned.","Anal sex can't be ostracized. If we consider the sexual activities of all people, then any person practicing anal sex should be blamed, following your reasoning.","LGBT+"
"Jews are useless. The only thing they did was awful. International Jewry is responsible for 9/11.","This looks like a conspiracy theory with no proof. I can think of a handful of legitimate ways that Jews could be of help to humanity.","JEWS"
"What is the point of loving someone if you cannot love in a heterosexual way?","Love is a state of mental and emotional balance, and the person which makes you feel this way can't be chosen. There is no reason for which heterosexual love should be preferable to other ways of loving.","LGBT+"
"Muslims have no place in a modern democracy.","This democratic state was designed to be a safe space for people of different faiths to come together and live peacefully. Not to oppress or discriminate.","MUSLIMS"
"Jews have a lot in common with monkeys: They are good at sex.","So many similarities between Jews and apes? What is wrong with them? Is it because of their religion?","JEWS"
"Women are always fighting because they are subhumans.","Women are human beings like us, and they have rights as any other human beings.","WOMEN"
"It's ok to call gay men fags.","You call a human being by their sexual orientation? That is discrimination, pure and simple.","LGBT+"
"Muslims are not welcome here! They have nothing to contribute to our society!","The Muslims have been part of this country since its inception. They have contributed so much to our society. They are our brothers and sisters. They are our neighbours. They are our friends. To deny them this freedom is to deny humanity.","MUSLIMS"
"Immigrants are bad and need to be sent back to their own country.","I think this statement may have more to do with what country a person is from than with who they are. Would you say the same to a migrant coming from Finland?","MIGRANTS"
"Immigration is a drain for the economy.","Immigration is far away from being a net negative for our economy.","MIGRANTS"
"Muslim folks are inferior to whites.","Who decides what is and is not 'inferior'? Do you have any scientific proof?","MUSLIMS"
"Islam is a totalitarian ideology.","In some cases, there is a strong religious connection between a person and a particular community, which makes their experience of life much more enriching than the average person's. This does not mean that Islam is a totalitarian ideology.","MUSLIMS"
"Jewish are subhuman and must be treated as inferior animals.","Being Jewish doesn't make you any less of a human being. The fact that you are Jewish doesn't mean that you deserve less human rights.","JEWS"
"Refugees have no place in a country like the UK.","They are fleeing for their lives, not to stay in refugee camps.","MIGRANTS"
"I hate negros: they are all killers.","This is a rumor spreading on the web, but violent black people are just like all the other people being violent towards other people. No matter their complexion.","POC"
"We should stop refugees and migrants coming in. They are not welcome.","Migrants and refugees are welcome in our country, why should we stop them?","MIGRANTS"
"The Jews control Hollywood.","While it is true that Jews have been powerful producers and directors in the entertainment industry, this is not unique to them. And they have also contributed greatly to other industries.","JEWS"
"If I could go back in time and change one thing about my life, it would be to never to have met an Arab.","For the record, I don't see how this would be an improvement. On the contrary, it is important not to accept things at face value. That is why we should meet people from different religions and cultures, regardless of their origin.","other"
"Immigrants are a problem: the world would be a better place without them.","Immigrants are part of the solution, the problem arises from the lack of integration that some people help to spread in the country.","MIGRANTS"
"No migrant has valid reasons to be here. We keep running after people refusing to work.","This is a myth which is spread in the media by the anti-immigration groups to undermine the good work that NGOs are doing for refugees.","MIGRANTS"
"Immigrants are stealing our jobs.","They are an important part of our country, as our allies. We can count on them.","MIGRANTS"
"Feminists just needs a little love, if you know what I mean.","This has already been proven wrong! You can't assume womens needs based on prejudice.","WOMEN"
"Muslim are invading our country.","I don't think our country is ""invaded"", Maybe it's time for us to remember that there has been a Muslim population in our country for a long time, and that the notion of Muslims as invaders is a myth created by the far right wing to stir up fear.","MUSLIMS"
"Migration is the biggest contributor to poverty in our country.","On the contrary: migration is an important part of our economy, it helps to create new jobs for people and to boost our economy.","MIGRANTS"
"I don't see women contributing anything to society.","Women often do amazing and valuable things for society.","WOMEN"
"Afro-Saxon people have low birthrates because they want to look like white people, but they live as animals.","Low birthrate is normal in any population and is directly related to access to affordable, quality health care.","POC"
"Muslims are a problem in so many European countries. They are trying to undermine the will of the people by teaching hatred in the name of Islam.","The Quran commands us to love those who love you and to shun the ones who would turn you away. I don't see any teaching of hatred, do you?","MUSLIMS"
"Islam is not a peaceful religion, it is a cult of violence and it should be made illegal.","Islam is a peaceful religion. We should talk about it, not try to make people fear or abandon it.","MUSLIMS"
"Jews insists that they are a peculiar people in need of a special treatment.","What are you trying to say? Every religion has its sects and beliefs.","JEWS"
"All Muslims are terrorists, they are all incompatible with any Western society.","You are absolutely right: every human being is unique and needs a certain set of values, which is influenced by their religion. But not all Muslims are terrorists, nor incompatible.","MUSLIMS"
"Muslim rape our women, we have to stop them now!","How can you say something like that? Maybe you should check if there is any evidence of rape based on religious background before you make any accusations.","MUSLIMS"
"Faggots are violent.","I don't think this is true. Homosexuals are not violent, they are just having a good time with all kinds of people.","LGBT+"
"The Koran has no place in our country.","I don't see how the Koran would not have a place in the UK. The Koran says to love your neighbor as yourself. It does not say to hate others because of their religion, as you seem to be doing.","MUSLIMS"
"black folks are inferior","As far as I know, we are all born equal in the eyes of God.","POC"
"Blacks do drugs, they're a menace to society, they're violent, they're stupid, and they should all be put in prison.","Drugs are only harmful to people using them and if you are a violent person you should be put in prison. Why should a group of people be put in prison for their private choices or skin color?","POC"
"Disabled people are criminals.","That is not true. All of us would be labelled a 'criminal' if we had a criminal record accounting for our diseases and problems.","DISABLED"
"The Jews control the world. Their control has been demonstrated time and time again. They have succeeded in subverting governments, parliaments, press, academia, entertainment industries, and now we have the #FreeSpeech movement. They control the world.","What is next, forcing non-whites to read the 'mein kampf'?","JEWS"
"Where is the love in White Britain when we need it?","My faith does not dictate that I cannot love and support my partner, however it does not support my being a homophobe, or racist.","POC"
"If LGBT were to have a normal behavior, society would accept them more easily.","How about using cultural diversity as the criteria?  Your standards seem very high for what you expect to be culturally acceptable standards of behavior.  Maybe it is better to use a less stringet criteria of acceptability.","LGBT+"
"Autistic folks are inferior.","The evidence that autistic people are inferior is lacking: it is commonly experienced that autistic people have unique talents, that they have special abilities, and that the only difference is in their social interactions.","DISABLED"
"Women need to accept that they are weak.","Many women work multiple jobs to provide for their children and they also do the housework... do you call that weakness?","WOMEN"
"Islam is a death cult, a perversion of the true meaning of the word 'civilisation'.","Islam is a religion, and to suggest that Islam is incompatible with civilisation is just scaremongering.","MUSLIMS"
"Immigrants rape our women and they are not welcome here.","I don't think it is true. They are welcome just as any others as members of the community as long as they respect the law. And we should have respect for migrants and their cultures as well.","MIGRANTS"
"If you want to be a great nation, please come to our rescue and deport all those filthy migrants.","Migrants are needed in our society, and their contribution is more than appreciated.","MIGRANTS"
"Migrants are a burden to the host country because they are refusing to work.","Migrants are happy to contribute to the host country's economic growth, in order to give back to it in many ways.","MIGRANTS"
"Immigrants are not welcome here. They are not worthy of our hospitality.","Since when is this the case? Who would have thought that there would have been such hate?","MIGRANTS"
"Women have no rational abilities.","So you think women are less rational than men? I don't think so. What's the evidence for that?","WOMEN"
"I'm not saying that women cannot be decent with human beings, I'm saying that they are subhuman.","There is a problem with stereotyping humans, and we need to acknowledge the past to move forward.","WOMEN"
"Allowing gays to donate blood compromises patient safety because they are having unprotected anal sex all the time.","Did you know that women also engage in unprotected 'anal sex'? Additionally, approximately 2% of heterosexual men have admittedly had a same sex partner, and 39% of homosexual men have had sex with a partner of the opposite sex. Therefore, it cannot be ignored that heterosexual are correlatively high risk.","LGBT+"
"If you are a Jew you are for sure involved in 9/11 planning. This is all about Race and 'Enlightenment'. Youe are all guilty until proven innocent.","Even if it were true that some people are more prone to believe conspiracy theories, it is still true that we can all benefit from a shared perspective on things. And surely believing in factual evidence does that.","JEWS"
"We cannot be 'tolerant' to Muslims, they are terrorists.","Islam is a religion of peace and tolerance. To be terrorist does not necessarily correspond with being Muslim, ask the RIA.","MUSLIMS"
"I don't want gays in my wedding. I don't want gays in the military. I don't want gays in my community.","Participation in society should not be restricted, it should be open to anyone who wishes to participate, regardless of their sexual orientation, gender identity, or religion. The Universal Declaration of Human Rights opposes discrimination on the grounds of sexual orientation in Article 2.","LGBT+"
"Jews had advance knowledge of the 9/11 attacks and said nothing.","The 9/11 attacks were perpetrated by members of the terrorist organization Al Qaeda. Jews and Israelis had no knowledge of the attacks. In fact, of the 2,9962 victims who died during the attacks, roughly 400 victims were Jews, including at least two Israeli citizens. If they knew it why didn't they warned and saved their brothers?","JEWS"
"Above all Islam is a religion of conquest.","No, Islam is a religion of 1.6 billion people from all walks of life.","MUSLIMS"
"All blacks are violent criminals.","Do you have any statistics on that? Are you claiming that black people are more likely than whites to be arrested for certain types of crimes, for example aggravated assault?","POC"
"Down syndrome is a problem for everybody, it is a disability that can't be cured. The sooner we get rid of it the better it will be for everybody.","People with Down syndrome should have the chance to live full lives as they wish, without facing this discrimination.","DISABLED"
"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.","Why do you think child rapists are not counteracted in Islamic communities?","MUSLIMS"
"Jewish folks are obsessed with the holocaust.","Jews were not obsessed with the holocaust. The murder of some 6 millions Jews by the Nazis shocked the world. Most of the survivors were only killed because they were suspected of belonging to a particular community. The Jewish people suffered greatly as a result of persecution, and the holocaust should be remembered not to let this happen again.","JEWS"
"Immigrants are a problem for the UK. They are now invading us.","Why do you think that the number of immigrants in the UK has increased? Have you seen any statistics on this?","MIGRANTS"
"Afro-Caribbean has no right to speak in the United States Congress.","Why should they? There are many Afro-Caribbean people in the US politics. There are many others who have worked very hard to get here.","POC"
"Islam is a totalitarian ideology that is run amok, encouraging violent beliefs and practices.","There are countless different Islamic traditions and beliefs. Do you really want to stigmatize all of them because of one stereotype?","MUSLIMS"
"Muslim society, culture, religion and immigration are largely to blame for the rise of so called radicalisation.","You're confused, because if a Muslim was threatened by a radical Christian, would you say that the radicalisation was caused by Christianity?","MUSLIMS"
"Migrants are a problem in my opinion. They are bringing disease, they are ruining our country.","Maybe you should get acquainted with migrants instead of making assumptions about people you do not know.","MIGRANTS"
"If an aborigine were to marry a white person, they would be a mixed race coulple whose destiny is failure. Aborigines first need to be raised by white people and taught the rules of western civilisation. But this is not what our founding documents were all about.","Asking people to assimilate is to accept their inherent differences and create new social structures based upon them.","other"
"Women are animals, they should be submissive and submit to their husbands.","Women are human and they have choices. You have the right to have your own views, but such ideas of submissiveness have been holding back half the population of the world. What a waste of talents, and potential.","WOMEN"
"I don't think that gay people should be allowed to donate blood because it would make them a danger to others.","Human life is much more worthy than discrimination. If gay people are willing to help, why shouldn't they?","LGBT+"
"Downies cannot choose their future.","If they have the right to vote, then they can also make decisions on their own about their life.","DISABLED"
"Sharia law is a perversion of Islam and we will not accept it in UK.","In fact, the UK Government does not agree with sharia law.","MUSLIMS"
"Black Americans are criminals and drug addicts. They should go to jail.","They are not criminals for having a particular skin color, nor drug addicts. They just need respect, not a jail sentence for being people of color.","POC"
"Jews just don't want equality. They want to control everything in life.","What exactly do you mean by 'control everything in life'?","JEWS"
"Women are nothing but lechers, they can become prostitutes if they like.","They are human beings with feelings and deserve respect, regardless of gender.","WOMEN"
"Migrants are a problem, they are invading our country.","Immigrants are not invading our country. They are just trying to live their life as is best for them.","MIGRANTS"
"We must free homosexuals from their homosexuality.","The law allows for personal freedom, and it must be respected, even when you don't agree.","LGBT+"
"Trans men aren't worth being with.","They are worth being with, they are humans like anybody else. And they are happy and content with their lives.","LGBT+"
"Multicultural means that I have to learn all that Muslim shit?","Christian religion is the main religion of our country. Do you think that all citizens have to learn about Christ's teachings? Or that they should know what they teach in church? Of course not. No worries, you can keep on ignoring Muslims.","MUSLIMS"
"If you are Romani, you can't remain in the UK even if you want to live and work in the UK.","What about the rights of EU citizens? From your words it seems that not all of European have them.","other"
"We must first remove the Jew from our countries, and then we will be able to have a coexistence between the peoples.","Do you really think that Jews are a hindrance to a peaceful society? Maybe the problem is racism and antisemitism.","JEWS"
"I miss the good old days when we had black domestic workers.","The West got rid of slavery. But we've never really left racism.","POC"
"My faith has taught me that to put an end to Muslims would be best for all: they want to exterminate us.","The statement you made about Muslims is just fear mongering. Most Muslims are peaceful and reasonable people.","MUSLIMS"
"Africans have no right to lecture others on history. They don't even believe in their own past.","There is no evidence that Africans are any less proud of their past than people from other countries.","POC"
"Allowing gays to donate blood compromises patient safety and testing all gay donors would be too expensive.","We already test blood from all groups, not only homosexual ones. There is no added expense than just using low risk groups.","LGBT+"
"Afro-Caribbean people are nothing but trouble. They have no place in civilized societies like ours in Europe.","So you think that they are to blame for the racial intolerance that has been seen in many European countries?","POC"
"Rejecting refugees is our duty.","Many refugees come from conflict zones, in situations of great social upheaval and widespread persecution. We do not have any conflict, and this is why we should be nice to refugees.","MIGRANTS"
"We need to bring back slavery, Jim Crow laws, segregation, and war.","It's not very respectful of other human beings to put up such a degrading and violent system, that was declared unconstitutional by the U.S. Supreme Court.","POC"
"Autism is not a disease but a degradation of the human spirit.","People with ASD have unique talents and advantages in a variety of areas, and it would be a tragedy if we were to only focus on their defects.","DISABLED"
"Gays are just a bunch of disgusting pricks who have perverted ideas of what it means to be a man.","Everyone has the right to their own way of life, but to promote homophobia is an attack on the basic human rights of LGBTI people.","LGBT+"
"Muslims are just a bunch of child molesters and war criminals.","Islam is not a religion of child molesters, why would it be?","MUSLIMS"
"Immigrants take our jobs, and our country is in danger because we let them.","Some immigrants work legally and provide for their families. We should accept people from every country, without leaving out people with legitimate needs because of their nationality.","MIGRANTS"
"Feminism threatens the objective reality of gender. There are men and women only. And women must obey.","This is not about identity but it is about a complete misunderstanding of the differences between men and women. Feminism is all about equality and removing barriers to get everyone to feel accepted and valued. We need to challenge these toxic gender stereotypes that keep women from standing up for themselves.","WOMEN"
"Blacks have subhuman bodies.","I'm not sure what you're talking about. What are you saying? What evidence do you have that black people have bodies that are incompatible with being human?","POC"
"Immigration is just a way to create more poverty and unemployment in our country.","Poverty and unemployment are real issues in the UK and throughout the world. I doubt this has something to do with migrants at all.","MIGRANTS"
"We are at war with Islam. They should all be killed.","We are not at war with Islam. Islam is a religion, and people are free to choose which religion to follow.","MUSLIMS"
"Islam is a death cult, it is founded on hate and violence.","I don't think we can attribute the success of Islam to hate and violence, but rather the opposite.","MUSLIMS"
"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, and they lie when they want to donate blood.","There is little to no reason for them to do so; if they wish to donate blood, evidently they have a degree of care about others. Lying would contradict the very reasons they might want to donate.Homophobic statements rarely make much sense.","LGBT+"
"Africans have no right to speak their language and are incapable of establishing a complex civilisation such as ours.","Every human being has the right to choose how to live and to speak their mother language, and that's all.","POC"
"Oh my gosh this fucking Muslims are disgusting! Where did they learn to act like this? I really don't like these guys! I hate these disgusting twats!","I am not hating someone just because of their religion, or skin colour, or gender identity.","MUSLIMS"
"Women need their own special rights, as in they are weaker and need for protection.","Why should women not have the rights that men have? Women have the right to be conscious of their rights as humans and not to feel threatened.","WOMEN"
"All muslims should be rejected from our country.","All religions have value. The problem is not the religion itself, but when people start excluding others on the basis of their religion.","MUSLIMS"
"Muslims are a cancer in our societies and they should be deleted.","The vast majority of Muslims are good people, they are just different from us in some traditions. Why should we target them?","MUSLIMS"
"Refugees are more likely to be criminals like all migrants.","Refugees aren't a 'source of crime' just because they are migrants. Moreover, they are no source of crime at all. Rather, it is very likely they are escaping from countries where crime against humanity is perpetrated.","MIGRANTS"
"Learning difficulties are just an excuse for lazy or stupid children: they should be disencouraged in schools.","Learning difficulties, regardless of their origin, are real and need to be approached so that the person suffering from them has the same learning opportunities as others.","DISABLED"
"Jews are intolerant.","Pot calling the kettle...","JEWS"
"How can we be sure that Muslim terrorists aren't already around us ready to strike?","We should be very careful of what we assume. We shouldn't go scaremongering without proof.","MUSLIMS"
"Jews are perverts and should be isolated.","It seems to me that you're saying that since Jews have a different religion, they can't assimilate? I think it's important to work on inclusion, instead of stereotyping.","JEWS"
"Islam is a religion of death.","Death cults are generally not successful at attracting new followers. It is not true that Islam is a religion of death.","MUSLIMS"
"Women are basically childlike, they remain this way most of their lives. With the exception of divorce and separation, no one talks about them.","Why do you say this about women? Try explaining it to your mother or grandmother.","WOMEN"
"Britain should ban Islam, this is the most important thing.","Britain is a multicultural society and everyone is free to practice their religion or not, and this is what is really important.","MUSLIMS"
"Islam is a death cult, it is an inhuman and violent faith that preys on the weakest and most vulnerable in our society. It should be banned.","One should not put faith in people who claim to speak for all Muslims, but rather they use their platform to promote hate and divide our society. But the problem is with these violent preachers, not with Islam itself.","MUSLIMS"
"We must stop Muslims from entering our country: those refugees are killing our children and raping our mothers.","You should first check the criminal records of those who have already been granted refugee status, before making such statements.","MUSLIMS"
"Blacks are genetically inferior","This is not true. I would like to see intelligent, respectful people around, not people disrespecting anyone who has black skin.","POC"
"Islam is not a religion, it is a political ideology and a mechanism for the establishment of a Muslim caliphate.","Islam is a religion, it is not a political ideology, and a lack of understanding about it will not change that. It will just enhance the hate against it.","MUSLIMS"
"Feminism is a movement dedicated to the subordination and domination of men.","Feminism is a movement that says that there are certain 'man' prerogatives that are valid for women as well. How can you argue with that?","WOMEN"
"Jews are not part of this society and they should not be accepted here.","We are a diverse society, so why shouldn't we be proud of being inclusive towards other religions?","JEWS"
"Immigrants come here to have a better life, with lots of money, but also the freedom to move freely and to rape and pillage our countries.","There is a big difference between a 'better life' and committing crimes such as rape or pillage. Migrants come here to earn their better life, not to steal.","MIGRANTS"
"Feminists are bad for the family.","Surely it can only be good to a family, especially if the mother is an independent woman?","WOMEN"
"All migrants rape our children","The rape of a child by a non-migrant adult is rape too. It is too simplistic to blame immigrants.","MIGRANTS"
"We are being invaded by immigrants, they are invading our culture.","You don't seem to have any evidence for the 'invasion' you are talking about. Wouldn't it be better to spread the word about the importance of respecting the culture of other people?","MIGRANTS"
"Islam is incompatible with British culture, it is a den of terrorists.","Islam is not incompatible with British culture, and the alleged association between Islam and terrorism has no factual foundation.","MUSLIMS"
"Children with Down Syndrome are a problem: they slow the learning of the whole class. They should go to special school just for them.","There is no evidence that Down Syndrome makes children worse at learning. Even if it did, this is not a good reason for discrimination.","DISABLED"
"I hate LGBT people. Queers makes me fucking laugh. You can be a woman, a gay, a vegetarian, you can be anything you want to be called! I want to be called King, where is my crown?","Queers, in my opinion, are simply people who want to feel welcome in our society. They should not be subjected to discrimination. And you can get your crown as well.","LGBT+"
"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them.","Religious sources agree that all humans are born equal. What is the religion you are talking about?","other"
"All foreigners are ruining our own land.","You have no idea of the discrimination that many people face due to the fear and cultural closure of host nations.","MIGRANTS"
"Muslims are not welcome here. They are not like us, they cannot coexist with us.","The idea that people must be persecuted for their religion is just a propagation of hate.","MUSLIMS"
"Islam is a totalitarian ideology that denies the humanity of women and is incompatible with Western culture.","The Quran does not impose women's subjugation. The Prophet Muhammad never did so, and his command to ""love your neighbor as yourself"" is explicitly stated in the Quran.","MUSLIMS"
"Women have it harder than men do, because they are inferior. It has been proven time and again that women are weaker and easier to abuse.","Women are not inferior but frequently subject to objectification by men. Also, men's experiences of violence and trauma are often underreported in the media and therefore not seen.","WOMEN"
"The British people should use those houses, not immigrants.","There are enough empty homes in the UK for both migrants and veterans. Migrants deserve to be treated humanely, try having some empathy. Imagine if you were forced by circumstance to emigrate and have to live in poor conditions.","MIGRANTS"
"The Jews control Hollywood, academia, and media.","Jews are not the only ones with their hands in the system. The freedom of the press allows any religious group to have their media and many actually do.","JEWS"
"Migrants are violent people, and they are a problem for us.","I think you should be careful about calling migrants a 'problem' since so many of them are just human beings fleeing for their lives.","MIGRANTS"
"Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.","You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!","other"
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’","You'd rather be nuked then?","JEWS"
"Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.","You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/","MIGRANTS"
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.","JEWS"
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.","Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?","JEWS"
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?","WOMEN"
"Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.","Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.","MIGRANTS"
"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.","POC"
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Without women there would be no men.","WOMEN"
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.","WOMEN"
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.","Why do we need supremacy? We are all created equal in the eyes of God.","other"
"What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.","We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!","JEWS"
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.","Which suggests that white people like to cordon off areas for themselves...","JEWS"
"Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.","Where is your evidence?","JEWS"
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.","Where are the facts?","JEWS"
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7","Where are the facts?","JEWS"
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.","What's your proof for claiming this?","JEWS"
"What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.","What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.","JEWS"
"Global Jewry did not want Brexit and are doing everything they can to sabotage it.","What makes you think that? Do you have any facts to back this up?","JEWS"
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7","Where is the proof of this? Looks like assumptions as opposed to facts...","JEWS"
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.","We do have to choose. It's ok to accept them both.","other"
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.","We can choose not to hate, and start to build bridges so we understand each other.","other"
"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?","LGBT+"
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.","WOMEN"
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.","other"
"Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality)","To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.","LGBT+"
"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics","WOMEN"
"Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!","this is correct, but their percentage of the population within Great Britain makes them a minority","MIGRANTS"
"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","This is about teaching children about the world they live in, and helping them get on with others.","LGBT+"
"Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!","These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.","MIGRANTS"
"Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!","These are numbers of residents in countries, not ethnic grouping.","MIGRANTS"
"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.","MIGRANTS"
"Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.","The US is the second most polluting country in the world - as the world’s biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.","other"
"Their power to have movies banned and directors censured is proof that the Jews control Hollywood.","The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.","JEWS"
"The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.","The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk","WOMEN"
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together.","WOMEN"
"The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.","The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.","JEWS"
"The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.","The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.","JEWS"
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?","JEWS"
